"kind","url","status","title","note","finalUrl"
"page","http://185.23.72.228/ar","200","Dernek - Ana Sayfa","","http://185.23.72.228/ar"
"page","http://185.23.72.228/ar/about-us","404","","HTTP hatasÄ±","http://185.23.72.228/ar/about-us"
"page","http://185.23.72.228/ar/activity-areas","404","","HTTP hatasÄ±","http://185.23.72.228/ar/activity-areas"
"page","http://185.23.72.228/ar/ar","404","","HTTP hatasÄ±","http://185.23.72.228/ar/ar"
"page","http://185.23.72.228/ar/bagis","200","Bağış Yap - Dernek","","http://185.23.72.228/ar/bagis"
"page","http://185.23.72.228/ar/bagis-kategorileri","200","Bağış Kategorileri - Dernek","","http://185.23.72.228/ar/bagis-kategorileri"
"page","http://185.23.72.228/ar/bagis-kategorileri/education","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/education"
"page","http://185.23.72.228/ar/bagis-kategorileri/egitim","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/egitim"
"page","http://185.23.72.228/ar/bagis-kategorileri/genel-bagis","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/genel-bagis"
"page","http://185.23.72.228/ar/bagis-kategorileri/general-donation","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/general-donation"
"page","http://185.23.72.228/ar/bagis-kategorileri/humanitarian-aid","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/humanitarian-aid"
"page","http://185.23.72.228/ar/bagis-kategorileri/insani-yardim","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/insani-yardim"
"page","http://185.23.72.228/ar/bagis-kategorileri/saglik","404","","HTTP hatasÄ±","http://185.23.72.228/ar/bagis-kategorileri/saglik"
"page","http://185.23.72.228/ar/canli-yayin","200","Canli Yayinlar - Dernek","","http://185.23.72.228/ar/canli-yayin"
"page","http://185.23.72.228/ar/cerez-politikasi","200","Çerez Politikası - Dernek","","http://185.23.72.228/ar/cerez-politikasi"
"page","http://185.23.72.228/ar/en","404","","HTTP hatasÄ±","http://185.23.72.228/ar/en"
"page","http://185.23.72.228/ar/etkinlikler","200","Etkinlikler - Dernek","","http://185.23.72.228/ar/etkinlikler"
